6,3,3,R
2,14,3,R
10,15,2,R
4,19,2,R
5,11,1,R
2,21,5,R
3,5,2,R
2,1,3,R
5,8,3,R
6,23,6,R
4,8,2,R
12,1,3,R
4,26,5,R
6,16,6,R
12,8,3,R
12,23,6,R
9,26,5,R
9,12,2,R
12,5,3,R
5,19,3,R
5,3,4,R
12,19,1,R
4,16,1,R
3,7,6,R
7,21,6,R
2,25,2,R
10,5,2,R
5,13,2,R
1,11,4,R
9,26,1,R
10,17,3,R
7,19,6,R
3,24,1,R
6,20,1,R
9,26,3,R
8,14,2,R
4,16,3,R
5,5,3,R
12,9,1,R
12,13,2,R
3,17,2,R
6,2,3,R
5,19,1,R
12,11,1,R
6,13,2,R
2,17,2,R
1,7,1,R
3,10,3,R
2,19,2,R
8,13,3,R
12,26,3,R
7,12,2,R
9,5,7,R
7,11,7,R
2,7,2,R
10,21,6,R
5,4,3,R
10,18,5,R
1,10,3,R
3,10,2,R
12,15,1,R
3,21,2,R
5,26,3,R
8,13,2,R
12,26,1,R
4,18,2,R
8,6,1,R
3,1,4,R
10,2,5,R
5,2,2,R
9,17,1,R
3,14,1,R
8,4,2,R
7,13,6,R
1,10,7,R
1,17,3,R
5,23,2,R
4,7,7,R
7,18,3,R
8,6,6,R
5,15,3,R
11,3,4,R
10,3,1,R
11,3,1,R
6,24,6,R
11,2,3,R
8,16,1,R
9,23,4,R
10,12,5,R
3,24,2,R
3,23,3,R
2,22,5,R
5,18,1,R
1,24,6,R
7,25,1,R
3,12,5,R
10,10,2,R
6,10,4,R
4,5,3,R
7,12,6,R
1,15,1,R
3,4,3,R
1,26,5,R
1,23,3,R
3,18,6,R
3,5,3,R
2,26,6,R
7,15,1,R
3,26,5,R
2,13,3,R
3,1,7,R
7,10,2,R
1,26,2,R
11,17,6,R
8,18,4,R
12,18,2,R
8,12,3,R
10,1,1,R
8,15,6,R
1,13,4,R
8,19,2,R
1,17,5,R
9,3,3,R
6,25,6,R
7,9,5,R
7,4,2,R
1,20,3,R
4,19,6,R
7,5,3,R
4,23,1,R
7,3,3,R
5,22,2,R
11,10,3,R
10,23,1,R
7,24,3,R
3,4,2,R
8,1,3,R
8,7,2,R
1,12,3,R
5,23,1,R
9,8,2,R
9,1,3,R
2,4,1,R
12,17,1,R
1,14,2,R
12,22,6,R
9,5,6,R
1,22,1,R
7,24,2,R
11,15,5,R
2,15,1,R
3,13,3,R
8,2,1,R
1,9,7,R
4,5,2,R
4,25,1,R
6,10,3,R
5,10,6,R
1,25,6,R
3,4,1,R
1,11,2,R
4,6,6,R
10,23,4,R
12,26,4,R
7,15,3,R
9,18,3,R
12,13,1,R
2,16,5,R
4,14,2,R
11,24,3,R
2,5,2,R
1,2,4,R
8,24,4,R
4,11,2,R
12,17,2,R
11,12,1,R
10,2,2,R
11,8,6,R
12,4,7,R
3,1,1,R
2,13,4,R
5,24,2,R
8,2,3,R
10,26,1,R
4,3,5,R
12,12,4,R
10,13,2,R
10,25,2,R
5,5,4,R
3,13,2,R
6,8,2,R
10,2,3,R
3,2,7,R
4,5,7,R
2,11,2,R
6,22,3,R
6,18,3,R
8,19,1,R
8,26,1,R
8,16,2,R
11,19,3,R
1,19,1,R
2,26,1,R
8,22,3,R
11,17,3,R
5,5,2,R
7,23,6,R
3,11,4,R
3,6,4,R
2,13,1,R
2,24,1,R
11,20,4,R
3,17,4,R
8,11,3,R
4,2,4,R
12,14,2,R
4,25,3,R
12,2,6,R
12,3,1,R
2,16,6,R
5,2,3,R
9,9,5,R
5,6,4,R
12,22,1,R
6,9,5,R
7,22,5,R
12,18,4,R
5,22,1,R
6,18,6,R
2,5,6,R
2,7,6,R
6,15,1,R
2,23,6,R
1,17,1,R
10,18,3,R
6,2,2,R
7,21,3,R
1,12,1,R
2,20,1,R
11,21,2,R
3,22,2,R
9,18,2,R
8,5,1,R
1,20,1,R
7,15,2,R
12,10,1,R
1,21,3,R
9,5,2,R
3,25,2,R
12,22,3,R
2,23,5,R
4,26,2,R
4,5,1,R
11,17,2,R
2,9,1,R
7,9,6,R
2,19,4,R
3,2,2,R
3,19,1,R
5,26,6,R
12,21,6,R
5,19,2,R
8,21,2,R
3,23,1,R
3,9,6,R
8,7,3,R
6,7,6,R
2,6,3,R
4,22,1,R
9,4,1,R
9,6,3,R
2,16,2,R
9,3,4,R
12,22,2,R
11,26,2,R
8,5,2,R
12,8,6,R
9,21,3,R
8,17,1,R
10,7,2,R
9,23,6,R
5,23,3,R
10,26,4,R
4,14,1,R
11,11,1,R
9,25,1,R
9,16,2,R
8,8,1,R
9,24,3,R
4,1,7,R
12,16,5,R
5,20,2,R
12,24,1,R
6,5,1,R
5,1,3,R
12,19,2,R
5,19,5,R
10,4,2,R
9,16,5,R
1,4,1,R
11,16,2,R
4,15,1,R
4,6,2,R
10,16,4,R
9,10,3,R
5,19,4,R
1,16,3,R
4,20,1,R
1,23,2,R
7,5,4,R
2,14,2,R
4,6,7,R
9,18,4,R
8,24,1,R
8,15,3,R
4,13,1,R
7,9,2,R
2,5,4,R
10,13,4,R
3,16,3,R
1,8,1,R
11,7,6,R
7,19,5,R
2,15,5,R
11,13,6,R
5,17,2,R
6,9,3,R
9,21,4,R
8,7,6,R
12,20,2,R
2,12,2,R
5,4,2,R
7,11,2,R
9,13,5,R
1,2,6,R
5,24,4,R
6,21,2,R
6,6,2,R
8,14,6,R
1,4,3,R
10,1,3,R
12,1,1,R
9,24,2,R
6,19,6,R
12,4,3,R
10,17,2,R
4,17,2,R
7,10,5,R
11,8,3,R
3,26,2,R
8,12,2,R
11,1,3,R
2,6,2,R
3,11,7,R
7,1,3,R
2,6,1,R
3,20,1,R
5,4,4,R
3,15,3,R
1,19,6,R
7,19,4,R
12,18,3,R
5,6,5,R
1,4,6,R
12,7,6,R
8,20,6,R
8,18,3,R
1,24,2,R
4,9,1,R
1,6,3,R
3,5,1,R
5,22,3,R
9,20,2,R
9,4,6,R
4,4,3,R
11,6,1,R
12,25,3,R
10,12,1,R
10,9,6,R
1,1,2,R
10,18,1,R
7,8,3,R
8,25,6,R
11,15,3,R
11,4,7,R
10,2,7,R
3,17,3,R
6,1,2,R
6,4,4,R
5,23,5,R
3,16,6,R
8,17,2,R
9,17,6,R
9,2,7,R
1,3,1,R
1,14,5,R
6,10,1,R
12,12,3,R
7,11,3,R
2,2,1,R
12,17,5,R
5,6,3,R
11,18,3,R
8,24,3,R
11,22,3,R
8,12,6,R
11,23,4,R
9,7,1,R
8,19,3,R
3,4,4,R
2,7,7,R
7,12,1,R
12,17,4,R
3,10,1,R
11,25,3,R
8,23,1,R
4,7,1,R
4,8,1,R
11,25,1,R
9,4,4,R
12,7,1,R
4,21,4,R
2,16,4,R
12,19,3,R
7,18,4,R
9,8,1,R
2,19,3,R
10,24,3,R
5,21,1,R
8,22,1,R
9,5,4,R
6,24,4,R
3,1,3,R
12,7,7,R
1,25,3,R
10,5,4,R
2,21,1,R
5,14,5,R
2,20,6,R
6,19,3,R
7,25,4,R
12,20,3,R
3,14,5,R
11,1,6,R
6,20,2,R
3,21,3,R
12,15,4,R
8,15,1,R
4,5,6,R
1,21,2,R
9,4,3,R
1,2,3,R
1,1,1,R
12,25,6,R
12,5,1,R
6,8,1,R
8,26,3,R
5,16,2,R
3,6,7,R
2,7,3,R
5,14,2,R
4,26,3,R
8,10,7,R
6,20,6,R
9,2,4,R
2,1,2,R
8,14,3,R
11,19,2,R
1,10,6,R
4,3,3,R
6,8,5,R
7,6,3,R
10,20,3,R
1,11,3,R
7,26,2,R
2,22,2,R
2,3,2,R
9,20,3,R
10,3,7,R
5,17,1,R
9,14,5,R
1,3,3,R
10,6,5,R
11,20,2,R
8,4,1,R
8,13,1,R
10,11,1,R
1,23,5,R
9,22,1,R
5,17,3,R
4,22,4,R
8,4,4,R
1,22,2,R
12,21,1,R
6,13,3,R
11,15,2,R
6,25,4,R
12,2,1,R
7,25,3,R
10,11,5,R
4,12,3,S
2,21,2,S
5,26,1,S
3,11,3,S
4,26,1,S
12,6,3,S
6,3,4,S
4,9,2,S
6,24,3,S
9,1,4,S
